word,num,type,top_form,simulated
треха,16,,False
трешечка,16,,False
двуха,16,,False
двушечка,16,,False
однуха,16,,False
однушечка,16,,False
треху,8,,False
двуху,8,,False
однуху,8,,False
трешечку,8,,False
двушечку,8,,False
однушечку,8,,False
трехе,8,,False
двухе,8,,False
однухе,8,,False
трешечке,8,,False
двушечке,8,,False
однушечке,8,,False
трехи,8,,False
двухи,8,,False
однухи,8,,False
трешечки,8,,False
двушечки,8,,False
однушечки,8,,False
ух,1,,False
ех,1,,False
ку,1,,False
ти,1,,False
ляма,1,,False
лямов,1,,False
